Product Name,Supported_apps,sound_system,OS,Resolution,Price
Cellecor 100 cm (40 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1366 x 768 Pixels,"₹15,499"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹10,499"
Infinix 80 cm (32 inch) HD Ready LED Smart Linux TV,Prime Video|Youtube,20 W Speaker Output,Operating System: Linux,HD Ready 1366 x 768 Pixels,"₹8,999"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹13,999"
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Netflix|Prime Video|Disney+Hotstar|Youtube,30 W Speaker Output,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹29,999"
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹24,999"
iFFALCON F52 79.97 cm (32 inch) HD Ready LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,16 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹10,999"
CORNEA Bezelless 110 cm (43 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹19,899"
realme 80 cm (32 inch) HD Ready LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,24 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹13,499"
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹15,999"
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),Netflix|Prime Video|Disney+Hotstar|Youtube,24 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹21,999"
DACS D13X 80 cm (32 inch) HD Ready LED Smart Android Based TV 2022 Edition,Netflix|Prime Video|Disney+Hotstar|Youtube,20 Speaker Output,Operating System: Android Based,HD Ready 1366*768 Pixels,"₹12,999"
realme 108 cm (43 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,24 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹21,999"
MOTOROLA ZX2 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Atmos and Dolby Vision,Netflix|Prime Video|Disney+Hotstar|Youtube,40 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹12,999"
Mi 4C 108 cm (43 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹19,999"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1366 x 768 Pixels,"₹10,999"
OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹14,999"
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,Netflix|Prime Video|Disney+Hotstar|Youtube,10 W Speaker Output,Operating System: WebOS,HD Ready 1366 x 768 Pixels,"₹15,490"
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,HD Ready 1366 X 768 Pixels,2 x HDMI | 2 x USB,20 W Speaker Output,60 Hz Refresh Rate,"₹8,499"
LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,"₹31,990"
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android Based TV,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android Based,Ultra HD (4K) 3840 x 2160 Pixels,"₹34,999"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,Netflix|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Tizen,HD Ready 1366 x 768 Pixels,"₹15,490"
Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,30 W Speaker Output,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹25,990"
TOSHIBA M550LP Series 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV TV With Bass Woofer and REGZ...,Netflix|Prime Video|Disney+Hotstar|Youtube,49 W Speaker Output,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,"₹52,990"
